Peak ID,A Height,A Volume,B Height,B Volume
1,129274320.0,24543327802.208874,134885359.36862096,18389965763.477642
2,4265961.0,1331427640.1055458,5802551.9550635675,2065348858.4131558
3,9002575.0,2754347306.2007627,8905085.34250965,3349918825.4725723
4,4558497.5,1252349366.043877,5056940.123876807,1466757133.1793656
5,6281310.0,2208303290.274642,6337985.379714819,3675144283.374927
6,8639205.0,2827315397.7587476,8957151.647271726,4502496582.805464
7,17076248.0,4258453312.9466887,22020894.235521328,5469547834.329729
8,3713681.25,1436902308.0133944,2950697.0664423085,631036422.4010156
9,5042635.0,2219968595.551063,5866963.330760132,1102863628.3185523
12,7273257.0,4438326693.8690605,7293054.817341708,2909610979.547124
13,10195097.0,3821130532.6377153,9935590.672793455,3026674151.3433857
14,8227979.0,3159950819.471737,8564771.298693,2218673363.5511866
15,16917048.0,4818131203.485293,17418322.72070555,5600335453.381928
16,21155488.0,6483875900.205813,22207918.85601426,6087158803.217381
17,5149539.5,1861937028.9462554,4125182.2157784123,9146588904.430382
18,13097083.0,4006434891.936797,14234584.848957758,4758713255.191079
19,9621282.0,3231702265.576189,9088531.70538623,3215165307.1526074
20,6161027.5,2131202443.4621298,4736181.890550637,7072998709.485167
21,17563240.0,6336178814.334146,16635095.640772311,5000963898.579744
22,5876169.5,2224261343.952254,6176441.261681768,2093702093.4912105
23,7278889.0,3145565770.2469277,7480386.161279485,2549731617.3619666
24,9680859.0,4445136332.421393,9924409.507788058,4196419312.9825406
25,19229930.0,4845396032.868034,21065395.932792094,5028556275.559083
26,14915260.0,5719464905.613542,11340741.163898822,84049559358.18532
27,15956529.0,3872175367.24247,14812405.810524981,4651419729.463993
28,5178886.5,1037597538.9370117,2486877.8150972743,314623494.9799229
29,12173336.0,3750825972.8707976,10941746.543320235,3422300807.1714725
30,13695244.0,4505613410.66689,10932663.147589387,9858671406.114819
31,10291535.0,3384582650.995445,11533531.08971393,4030425547.420027
32,11524246.0,3838177115.9285483,14374187.833996236,4369502694.2143
33,14479089.0,4422111207.011969,14455510.078191949,5492074902.958373
34,16498307.0,4825127983.274601,15480014.583365578,4584499962.299284
35,33625496.0,11665241479.73602,33857726.61278637,11154500389.163837
36,7598197.0,2975794370.609289,4569623.118054624,2873494866.727652
37,7542039.5,2924862230.9451823,5695878.4704311555,5150408657.670804
38,7421390.0,2663663108.6771646,7300640.197676759,3410187651.2132463
39,4980152.5,2536596948.0624976,5762259.4488199605,5214361991.128127
40,15719949.0,5914063177.435911,17830316.938141104,5418158762.930978
41,11487933.0,3231790598.5617247,10534017.972649746,5620849436.985158
42,9163854.0,3245326338.841876,9715853.99690803,3264191667.7648873
43,7189837.0,3588306054.599454,8385574.150968367,3108870543.760045
44,8352123.5,2735586066.636813,8226974.5780058075,4701701391.934843
45,5364928.0,1798002393.3376188,4895871.9749037,3558649320.9642477
46,12300446.0,3126484742.7852798,11632434.06450351,4153097521.061248
47,9986912.0,3696887801.00884,8189126.000353073,4477113483.106133
48,10566139.0,3248279561.209001,12286516.333426537,3863594274.7035875
49,10746485.0,3948180537.1610756,9382847.639164759,4160701164.0398088
50,15939387.0,4742644238.951509,15150863.082059458,3918210748.218257
51,8905376.0,4478495841.825347,9702876.308868553,4271069035.383358
52,8383021.5,2651097006.4899454,7569742.368848331,3864434073.826991
54,10142255.0,3965989346.570139,10691646.437277116,2817779675.0574174
55,18330886.0,5633641106.722866,17951322.623454235,5048681924.471108
56,38226616.0,10408224835.37134,41455719.85406604,10268382470.930195
57,8191669.0,2738922965.608559,6846806.711482891,2425714692.500772
58,10558100.0,4348090513.263516,10929874.155123066,6247541819.903283
59,18645094.0,4982297377.652443,18742333.906241238,4929108026.928871
60,15769721.0,4422777177.46126,14293913.926717363,4149433024.7815804
61,25941470.0,7877547786.032279,14860490.187708471,48408757812.240005
62,6461002.5,2702023471.168007,5950443.045758051,2568326668.484839
63,19214922.0,5479166659.409953,18137012.996962104,5657164294.043771
64,10761137.0,4130768108.9213076,10033594.290625121,3100472816.6846294
65,6744740.5,1534181949.5237675,6722477.458556712,1215377290.8213415
66,10435251.0,3755836130.4067073,5396177.897034323,3165102540.209546
67,68433120.0,16969026640.852587,68856407.47746271,15225522685.284891
68,6380497.5,1947597021.7094827,6298679.865699081,2197227253.416145
69,6332845.0,3115008267.902161,6105087.529443448,4921797667.647411
70,28549558.0,8265563667.63812,26837232.273456834,9519205669.118492
72,11834004.0,3736009872.528525,11037434.399143336,3540521336.160938
73,11208121.0,3454692106.6138973,11914923.07088116,3122960560.760183
74,34514872.0,8311956941.409471,34621570.961887285,7928153537.859835
75,9327029.0,3812552882.1256957,5427925.41673687,2358774482.1719193
76,17727822.0,4102172170.590278,11311383.348463863,2590105574.6259174
77,8501304.0,3209899606.3547163,7480342.343644507,3388805991.9708896
78,13878152.0,3781611373.5122924,12288668.874744808,4723975322.166223
79,11139476.0,3908674046.041256,11635586.743340144,3480988289.717618
80,6350909.0,1720568254.8651018,6535216.770555336,2011677556.021644
81,4024766.25,1083114495.4190211,4295985.821662876,3492406292.336873
82,4687318.0,1645159478.5664256,4762986.781027717,1802053708.74556
83,17554048.0,5354959721.252448,14093873.277754348,5301011632.6167755
84,9103883.0,3030543434.9073715,7957607.310142621,3374717182.429426
85,16481116.0,5768217464.77073,15860671.523706062,5429713230.677246
86,10478478.0,3983198032.004574,10347592.55831513,3863057885.3743033
87,12840408.0,3558362023.8549013,12530289.172978897,3816245939.209361
88,17697632.0,6874999994.66355,17904309.58744595,6930980271.711991
89,10934867.0,3565106757.7254205,10537331.681294924,4950606184.197545
90,20768488.0,6719595685.077467,20307390.28355193,6295866964.607767
91,10166687.0,3334881113.665588,10128989.663734749,4499600849.57959
92,12142413.0,4972731436.767568,11126375.434620772,641534468773.9022
93,56363076.0,18953358898.10769,56110882.79515145,14448651232.098991
94,7817449.5,3383189540.7925186,8813484.57658908,2514629493.912605
95,36326680.0,10179418075.293854,40159112.217445314,10183823530.470036
96,23044078.0,6868273928.4875965,25118481.15969888,6965460830.846416
97,15284105.0,7142485483.057912,14173239.064548312,7212194010.032178
98,39793220.0,9258433149.707104,26326995.632078987,6237377328.960739
99,16300020.0,4951784895.135454,15668835.726892592,4671501013.149589
100,15514155.0,4744624898.015705,14568131.259052128,3965223643.8466306
101,29750408.0,7294502152.890536,33993624.816787496,7403892116.491157
102,58171532.0,20139698496.6001,61138163.30963239,17551957962.473415
103,19633026.0,5559106418.365559,17430091.042019647,5130917760.515072
104,29335678.0,9480627214.673252,17203659.031509653,5754564363.677404
105,19315922.0,5523906946.742604,19829604.98263846,5050346026.479755
106,16687845.0,7354923780.813305,15171216.373506531,6198546653.979345
107,6718138.0,1741571594.0585563,6812168.871033137,1747902795.1197927
108,17011362.0,5708800985.713523,16182697.182123957,5467431123.065373
109,35098888.0,8669430291.737803,37642963.40060238,9030493233.80219
110,15990824.0,6567825802.577239,16734107.064208461,6597176563.987394
111,6751220.5,2357901874.102129,5013952.83308208,1842093403.1842365
112,42867760.0,13086622748.727552,44223745.582050435,14262323505.211487
113,3571252.25,2424871740.8345,2558159.795958318,527838950.1429723
114,13695265.0,5025414959.04104,14367550.557738012,4491914372.537705
115,15841175.0,4930892664.51525,15226648.968075758,4028235938.6326694
117,19068784.0,5115429603.7112665,19849653.74152244,4882882090.8698635
118,20824698.0,6060815089.048729,21633725.99462318,5880639208.847182
119,12667488.0,5451330197.705166,13642425.661785007,6069147892.712361
120,9621951.0,3569361661.139184,10423286.427297976,3967405659.353487
121,11745598.0,59656471158.010994,10077925.687372785,124121039652.83748
122,12395366.0,4217858814.9499626,11725715.23672547,4357470093.288421
124,15307206.0,6248548368.216417,15650111.35602581,4907908111.20005
125,13837969.0,4520761636.616165,13609418.93279729,4645935162.8530245
126,15872371.0,5600220126.242019,15898218.855118325,7468866869.988568
127,8309889.0,3431164262.279384,4680847.885660111,2101277357.181018
128,5439646.5,2061911515.9913602,5036321.188017683,1688310080.4564466
129,12130840.0,3565971851.281021,12306844.429733496,3639864747.5021086
130,15769408.0,5599273212.792529,16456408.42077473,5113797713.9452505
131,9901139.0,3652391434.4235296,9666597.497988889,3445285959.834154
132,21467794.0,6172665109.599455,21574473.597724784,5456199184.262178
